customer_id,email,phone,age,country,registration_date,total_purchases
1,john.doe@example.com,5551234567,28,USA,2024-01-15,1250.50
2,john.doe@example.com,5551234567,28,USA,2024-01-15,1250.50
3,jane-smith@email,555-234-5678,35,UK,2024-01-20,3200.00
4,bob.wilson@test.com,(555) 345-6789,,Canada,2024-02-01,890.25
5,alice.brown@mail.com,555.456.7890,42,USA,2024-02-10,5600.75
6,charlie@invalid,5554567890,31,Australia,2024-02-15,2100.00
7,diana.martinez@example.com,555-567-8901,29,Spain,2024-03-01,1800.50
8,edward.lee@test.com,5556789012,,China,2024-03-10,4200.00
9,diana.martinez@example.com,555-567-8901,29,Spain,2024-03-01,1800.50
10,frank.anderson@email.com,(555) 789-0123,45,Germany,2024-03-20,3100.25
11,grace-chen@mail.net,555 890 1234,33,Singapore,2024-04-01,2700.00
12,henry@badformat,5559012345,38,Japan,2024-04-15,1950.75
13,isabel.rodriguez@example.com,+1-555-012-3456,27,Mexico,2024-05-01,1450.00
14,jack.taylor@test.com,5551234567,,France,2024-05-10,3800.50
15,karen.white@mail.com,(555)234-5678,36,Italy,2024-05-20,2250.00
